RecipeID,RecipeMasterID,MaterialMasterID,BomAlternative,ProdIssue,ProdSpecific1,ProdSpecific2,ProdSpecific3,RecipeEdition,RecipeDescription,RecipeStatus,RecipeTypeID,RecipeTypeGlobalName,RecipeTypeLocalName,ProcessTypeID,ProcessTypeName,ParameterID,ParameterName,ParameterType,ParameterGlobalName,ParameterLocalName,ParameterUnitSymbol,ParameterValue,Workcenter,TechOffsetValue,TechOffsetComments,TechOffsetUTCDate,TechOffsetLocalDate,TechOffsetHistoryValueFrom,TechOffsetHistoryValueTo,TechOffsetHistoryComments,TechOffsetHistoryUTCDate,TechOffsetHistoryLocalDate,UserName
167411,167411,992670596700,C1,100,992670596700,0314176000,RE,2,225/65 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190259,TB1_BS_PositionSettingBeadLeft,Number,Turn-up ring left position bead setting,左卷边罩位置_胎圈芯定位,mm,210,TB122,-2,,2026/8/13 14:07,2026/8/13 22:07,-2.5,-2,,2026/8/13 14:07,2026/8/13 22:07,CGMS_uih69088
167411,167411,992670596700,C1,100,992670596700,0314176000,RE,2,225/65 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190260,TB1_BS_PositionSettingBeadRight,Number,Turn-up ring right position bead setting,右卷边罩位置_胎圈芯定位,mm,210,TB122,-2.8,,2026/8/13 14:07,2026/8/13 22:07,-3.3,-2.8,,2026/8/13 14:07,2026/8/13 22:07,CGMS_uih69088
167411,167411,992670596700,C1,100,992670596700,0314176000,RE,2,225/65 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190260,TB1_BS_PositionSettingBeadRight,Number,Turn-up ring right position bead setting,右卷边罩位置_胎圈芯定位,mm,210,TB122,-2.8,,2026/8/13 14:07,2026/8/13 22:07,-2.5,-3.3,,2026/8/13 14:04,2026/8/13 22:04,CGMS_uih69088
167411,167411,992670596700,C1,100,992670596700,0314176000,RE,2,225/65 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190259,TB1_BS_PositionSettingBeadLeft,Number,Turn-up ring left position bead setting,左卷边罩位置_胎圈芯定位,mm,210,TB122,-2,,2026/8/13 14:07,2026/8/13 22:07,-1.8,-2.5,,2026/8/13 14:04,2026/8/13 22:04,CGMS_uih69088
169532,169532,892671414300,C1,100,892671414300,ET534760,GREATWALL,1,275/50 R22 (C+3/4),已放行,125,Phase IV TBM-KM,四期 TBM-KM,119,Tire Building Stage 1,1190260,TB1_BS_PositionSettingBeadRight,Number,Turn-up ring right position bead setting,右卷边罩位置_胎圈芯定位,mm,238,TB1B1,0,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,,0,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,"Hu, Taiyong"
169532,169532,892671414300,C1,100,992670596700,ET534760,GREATWALL,1,275/50 R22 (C+3/4),已放行,125,Phase IV TBM-KM,四期 TBM-KM,119,Tire Building Stage 1,1190259,TB1_BS_PositionSettingBeadLeft,Number,Turn-up ring left position bead setting,左卷边罩位置_胎圈芯定位,mm,238,TB1B1,-0.5,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,,-0.5,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,"Hu, Taiyong"
169532,169532,892671414300,C1,100,992670596700,ET534760,GREATWALL,1,275/50 R22 (C+3/4),已放行,125,Phase IV TBM-KM,四期 TBM-KM,119,Tire Building Stage 1,1190272,TB1_BS_TimeResident,Number,Bead setting time,胎圈芯放置时间,s,0.6,TB1B1,0.2,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,,0.2,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,"Hu, Taiyong"
169532,169532,892671414300,C1,100,992670596700,ET534760,GREATWALL,1,275/50 R22 (C+3/4),已放行,125,Phase IV TBM-KM,四期 TBM-KM,119,Tire Building Stage 1,1190392,TB1_SW_SpeedLayonDrum,Number,Lay-on speed SW,SW 安装速度,m/min,90,TB1B1,-30,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,-20,-30,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,"Hu, Taiyong"
169532,169532,892671414300,C1,100,992670596700,ET534760,GREATWALL,1,275/50 R22 (C+3/4),已放行,125,Phase IV TBM-KM,四期 TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB1B1,-30,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,-20,-30,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,"Hu, Taiyong"
169532,169532,892671414300,C1,100,892671414300,ET534760,GREATWALL,1,275/50 R22 (C+3/4),已放行,125,Phase IV TBM-KM,四期 TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB1B1,-40,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,-30,-40,Copied By User Id: 214 from Recipe ID: 169531 for managing techoffset,2026/8/13 13:44,2026/8/13 21:44,"Hu, Taiyong"
160532,160532,992670331700,C1,100,992670596700,0312426000,RE,1,255/55 R18 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190272,TB1_BS_TimeResident,Number,Bead setting time,胎圈芯放置时间,s,0.8,TB183,0.5,,2026/8/13 13:11,2026/8/13 21:11,0,0.5,,2026/8/13 13:11,2026/8/13 21:11,CGMS_uih69086
160532,160532,992670331700,C1,100,992670596700,0312426000,RE,1,255/55 R18 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB183,-20,,2026/8/13 13:11,2026/8/13 21:11,0,-20,,2026/8/13 13:11,2026/8/13 21:11,CGMS_uih69086
160532,160532,992670331700,C1,100,992670596700,0312426000,RE,1,255/55 R18 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB183,-30,,2026/8/13 13:11,2026/8/13 21:11,-20,-30,,2026/8/13 13:11,2026/8/13 21:11,CGMS_uih69086
140271,140271,9.9267E+11,C1,100,992670596700,0311891000,RE,1,225/50R18 9 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190272,TB1_BS_TimeResident,Number,Bead setting time,胎圈芯放置时间,s,0.8,TB183,0.5,,2026/8/13 13:07,2026/8/13 21:07,0,0.5,,2026/8/13 13:07,2026/8/13 21:07,CGMS_uih69086
140271,140271,9.9267E+11,C1,100,892671414300,0311891000,RE,1,225/50R18 9 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB183,-20,,2026/8/13 13:07,2026/8/13 21:07,0,-20,,2026/8/13 13:07,2026/8/13 21:07,CGMS_uih69086
163297,163297,9.92671E+11,C1,100,992670596700,0359321000,CHY,1,255/45 R20 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190318,TB1_PL1_DistanceServicerToDrum,Number,Lay-on position,安装位置_PLY1,mm,140,TB175,-17,,2026/8/13 13:04,2026/8/13 21:04,-15,-17,,2026/8/13 13:04,2026/8/13 21:04,CGMS_uih69094
169525,169525,8.92671E+11,C1,100,992670596700,ET528710,RE,1,215/50 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB122,-40,,2026/8/13 13:03,2026/8/13 21:03,0,-40,,2026/8/13 13:03,2026/8/13 21:03,CGMS_uih69088
169525,169525,8.92671E+11,C1,100,992670596700,ET528710,RE,1,215/50 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB122,-20,,2026/8/13 13:03,2026/8/13 21:03,0,-20,,2026/8/13 13:03,2026/8/13 21:03,CGMS_uih69088
169525,169525,8.92671E+11,C1,100,992670596700,ET528710,RE,1,215/50 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190392,TB1_SW_SpeedLayonDrum,Number,Lay-on speed SW,SW 安装速度,m/min,90,TB122,10,,2026/8/13 13:03,2026/8/13 21:03,0,10,,2026/8/13 13:03,2026/8/13 21:03,CGMS_uih69088
160532,160532,9.9267E+11,C1,100,892671414300,0312426000,RE,1,255/55 R18 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190003,TB1_IL_Friction,Number,Lay-on friction IL,IL 安装摩擦,%,100,TB183,-6.5,,2026/8/13 12:39,2026/8/13 20:39,-7,-6.5,,2026/8/13 12:39,2026/8/13 20:39,CGMS_uih69086
169523,169523,8.92671E+11,C1,100,992670596700,ET528711,RE,1,215/50 R17 (C+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190392,TB1_SW_SpeedLayonDrum,Number,Lay-on speed SW,SW 安装速度,m/min,90,TB122,10,,2026/8/13 12:33,2026/8/13 20:33,0,10,,2026/8/13 12:33,2026/8/13 20:33,CGMS_uih69088
160532,160532,9.9267E+11,C1,100,992670596700,0312426000,RE,1,255/55 R18 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190272,TB1_BS_TimeResident,Number,Bead setting time,胎圈芯放置时间,s,0.8,TB183,0.5,,2026/8/13 13:11,2026/8/13 21:11,0.5,0,,2026/8/13 12:31,2026/8/13 20:31,CGMS_uih69086
160532,160532,9.9267E+11,C1,100,992670596700,0312426000,RE,1,255/55 R18 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190392,TB1_SW_SpeedLayonDrum,Number,Lay-on speed SW,SW 安装速度,m/min,90,TB183,0,,2026/8/13 12:31,2026/8/13 20:31,-10,0,,2026/8/13 12:31,2026/8/13 20:31,CGMS_uih69086
160532,160532,9.9267E+11,C1,100,992670596700,0312426000,RE,1,255/55 R18 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190349,TB1_PL1_SpeedLayonDrum,Number,Lay-on speed PLY 1,PLY 1 安装速度,m/min,110,TB183,-20,,2026/8/13 13:11,2026/8/13 21:11,-20,0,,2026/8/13 12:31,2026/8/13 20:31,CGMS_uih69086
160532,160532,9.9267E+11,C1,100,892671414300,0312426000,RE,1,255/55 R18 (2+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190338,TB1_IL_SpeedLayonDrum,Number,Lay-on speed IL,IL 安装速度,m/min,100,TB183,-30,,2026/8/13 13:11,2026/8/13 21:11,-40,-20,,2026/8/13 12:31,2026/8/13 20:31,CGMS_uih69086
165309,165309,9.92671E+11,C1,100,992670596700,0312840000,RE,1,195/65 R15 (1+0),已放行,28,TBM-KM,TBM-KM,119,Tire Building Stage 1,1190272,TB1_BS_TimeResident,Number,Bead setting time,胎圈芯放置时间,s,0.4,TB114,0.4,,2026/8/13 12:27,2026/8/13 20:27,0,0.4,,2026/8/13 12:27,2026/8/13 20:27,CGMS_uih69090
