RECIPEID,VER,TREADCODE,RELEASE_TIME,HISTORY_PDATE,USERNAME,COMMENTS,RELEASED,RESYNCED,STATFLAG,BAFFACTOR,PMDFACTOR,BAFFACTOR_TG,PMDFACTOR_TG,PRIMARYLIMITSETID,CPKLIMITSETID,AUDITLIMITSETID,ART10,VAR,DESCRIPTION,TIRESIZE,TRADE_NAME,CUSTOMERCODE,PASSQC,CUSTOMERDESC,BRAND,PLY,PLYMAT,TGROUP,TSUBGROUP,WEIGHT,WIDTH,AR,RD,LI,SS,LR,SSR,LOAD,RW,INFLATION,CONBIAS,STBT_CW,STBT_CCW,UPDATE_LIMIT,LSID_T1,LSID_T2,LSID_T3,RFPP_T1,RFPP_T2,RFPP_T3,RFH1_T1,RFH1_T2,RFH1_T3,RFH2_T1,RFH2_T2,RFH2_T3,LFPP_T1,LFPP_T2,LFPP_T3,LFH1_T1,LFH1_T2,LFH1_T3,LFH2_T1,LFH2_T2,LFH2_T3,CONU_T1,CONU_T2,CONU_T3,CONL_T1,CONL_T2,CONL_T3,CONP_T1,CONP_T2,CONP_T3,CONN_T1,CONN_T2,CONN_T3,PLYU_T1,PLYU_T2,PLYU_T3,PLYL_T1,PLYL_T2,PLYL_T3,TG_RIMWIDTH,TG_BEATSEATWIDTH,TG_POPINFL,TG_POPINFLDWELLTIME,TG_INFL,TG_INFL2,TG_BUL_STBT,TG_TRACKS,RROM_T1,RROM_T2,RROM_T3,RROH1_T1,RROH1_T2,RROH1_T3,RROH2_T1,RROH2_T2,RROH2_T3,LROM_T1,LROM_T2,LROM_T3,LROH1_T1,LROH1_T2,LROH1_T3,BULS_T1,BULS_T2,BULS_T3,DEPS_T1,DEPS_T2,DEPS_T3,TB_RIMWIDTH,TB_ADAPTERRW,TB_SEALRW,TB_INFL,TB_POPINFL,TB_POPINFLDWELLTIME,TB_PREFSTATLIMIT,TB_WEIGHT,WPS_PROVIDEDWEIGHT,TBALW_T1,TBALW_T2,TBALW_T3,BBALW_T1,BBALW_T2,BBALW_T3,SBALW_T1,SBALW_T2,SBALW_T3,SBALPC_T1,SBALPC_T2,SBALPC_T3,SBAL_T1,SBAL_T2,SBAL_T3,DESCRIPTION2
186601,66,W:OAW,28/Feb/2026 11:58:08,,kun huang,,1,1,1,7,,,,15456,15456,15456,0311044000,0,215/65 R 16 H UltraContact UC6 SUV ,215/65 R 16,UltraContact UC6 SUV ,000,3,Replacement,C,2,POLYESTER,01,001,10312,215.00 mm,65,16,98,H,,0,5000,6.50,200000,,3,2,28/Feb/2026 11:23:50,439152,439153,439154,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,6.500013,,5.500011,200000,300000,3,1,,,50,50,60,50,50,60,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,215/65 R 16 H UltraContact UC6 SUV 
186602,53,:LRRA,28/Feb/2026 11:59:05,,kun huang,,1,1,1,7,,,,7802,7802,7802,0311054000,0,255/50 R 20 V MaxContact MC6,255/50 R 20,MaxContact MC6 ,000,3,Replacement,C,0,,01,001,15456,255.00 MM,50,20,109,V,,0,6300,8.00,200000,,3,2,28/Feb/2026 11:23:50,439156,439157,439158,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,8.000016,,7.500015,200000,300000,2,1,,,80,80,90,80,80,90,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,255/50 R 20 V MaxContact MC6
186829,70,O:WGR,28/Feb/2026 12:09:31,,kun huang,,1,1,1,7,,,,338956,338956,338956,0311059079,0,255/50 R 20 V CONTISPORTCONTACT 5,255/50 R 20,CONTISPORTCONTACT 5 ,079,2,BYD,C,2,POLYESTER,01,001,15416,255.00 mm,50,20,109,V,,0,6300,8.00,200000,,2,3,28/Feb/2026 12:08:08,440100,440101,440102,100,115,120,80,90,95,0,0,0,80,80,80,0,0,0,0,0,0,40,40,95,-40,-40,-95,-40,-40,-95,-40,-40,-95,9980,9980,9980,1,1,1,,,400000,,400000,,,107,1,1,1.5,0,0,0,0,0,0,1,1,1.6,1,1,1.3,0.8,0.8,2,0.8,0.8,0.9,8.000016,,7.500015,200000,400000,2,1,,0,50,50,75,50,50,75,996,997,998,0.5,0.5,0.7,9.8,9.8,9.8,255/50 R 20 V CONTISPORTCONTACT 5
184767,55,:RAGG,28/Feb/2026 11:37:35,,kun huang,,1,1,1,7,,,,7802,7802,7802,0311075000,0,225/55 R 18 V UltraContact UC6 ,225/55 R 18,UltraContact UC6 ,000,3,Replacement,C,2,POLYESTER,01,001,11214,225.00 mm,55,18,98,V,,0,5000,7.00,200000,0,3,2,28/Feb/2026 11:23:50,430796,430797,430798,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.000014,,7.000014,200000,300000,2,1,,,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,225/55 R 18 V UltraContact UC6 
188529,4,:ORAO,07/Jul/2026 14:48:21,,uig21023,,1,1,1,7,,,,7802,7802,7802,0311094000,0,225/55 R 18 V ComfortContact CC6,225/55 R 18,ComfortContact CC6 ,000,3,Replacement,C,2,POLYESTER,01,001,12616,225.00 mm,55,18,98,V,,,5000,7.00,200000,0,3,2,07/Jul/2026 14:47:46,449115,449116,449117,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,115,-95,-95,-115,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.000014,,7.000014,200000,300000,2,1,,0,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,225/55 R 18 V ComfortContact CC6
184768,57,G:PR,28/Feb/2026 11:37:36,,kun huang,,1,1,1,7,,,,15456,15456,15456,0311097000,0,215/50 R 18 W UltraContact UC6,215/50 R 18,UltraContact UC6 SUV ,000,3,Replacement,C,2,POLYESTER,01,001,10096,215.00 mm,50,18,92,W,,0,4000,7.00,200000,,3,2,28/Feb/2026 11:23:50,430800,430801,430802,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.000014,,7.000014,200000,300000,1,1,,,50,50,60,50,50,60,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,215/50 R 18 W UltraContact UC6
186830,52,:ROGR,28/Feb/2026 12:09:31,,kun huang,,1,1,1,7,,,,318401,318401,318401,0311142087,0,225/45 R 18 V UltraContact UC6 ,225/45 R 18,UltraContact UC6 ,087,2,Geely,C,2,POLYESTER,01,001,11219,225.00 mm,45,18,95,V,,0,4000,7.50,200000,,3,3,28/Feb/2026 12:08:08,440104,440105,440106,80,80,125,65,65,95,50,50,70,80,80,80,0,0,0,0,0,0,40,40,95,-40,-40,-95,0,0,0,0,0,0,9980,9980,9980,1,1,1,,,400000,,400000,,,107,0.9,0.9,1.3,0,0,0,0,0,0,1.1,1.1,1.3,1,1,1.3,0.8,0.8,1.3,0.8,0.8,1.3,7.500015,,7.500015,200000,400000,1,1,,0,45,45,80,45,45,80,996,997,998,0.5,0.5,0.7,9.8,9.8,9.8,225/45 R 18 V UltraContact UC6 
184769,51,:LLLR,28/Feb/2026 11:37:37,,kun huang,,1,1,1,7,,,,7802,7802,7802,0311156000,0,245/40 R 20 V SportContact 6 VOL,245/40 R 20,SportContact 6 VOL ,000,3,Replacement,C,0,,01,001,13085,245.00 MM,40,20,99,V,,0,5000,8.50,200000,0,3,2,28/Feb/2026 11:23:50,430804,430805,430806,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,8.500017,,8.500017,200000,300000,2,1,,,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,245/40 R 20 V SportContact 6 VOL
184770,52,:LAW,28/Feb/2026 11:37:37,,kun huang,,1,1,1,7,,,,7802,7802,7802,0311161000,0,235/55 R 18 V EcoContact 6,235/55 R 18,EcoContact 6 ,000,3,Replacement,C,0,,01,001,11588,235.00 MM,55,18,100,V,,0,5600,7.50,200000,0,3,2,28/Feb/2026 11:23:50,430808,430809,430810,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,7.500015,,7.000014,200000,300000,2,1,,,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,235/55 R 18 V EcoContact 6
184771,51,:LLR,28/Feb/2026 11:37:38,,kun huang,,1,1,1,7,,,,7802,7802,7802,0311162000,0,235/45 R 20 V EcoContact 6,235/45 R 20,EcoContact 6 ,000,3,Replacement,C,0,,01,001,11421,235.00 MM,45,20,100,V,,0,5000,8.00,200000,0,3,2,28/Feb/2026 11:23:50,430812,430813,430814,105,105,125,75,75,95,9960,9970,9980,80,80,85,0,0,0,0,0,0,95,95,105,-95,-95,-105,0,0,0,0,0,0,960,970,980,1,1,1,,,400000,,400000,,,107,0.9,1.1,1.4,0,0,0,0,0,0,1.3,1.5,1.8,0.9,1,1.3,0.8,0.8,0.8,0.8,0.8,0.8,8.000016,,7.500015,200000,300000,1,1,,,60,60,70,60,60,70,996,997,998,0.6,0.6,0.8,9.8,9.8,9.8,235/45 R 20 V EcoContact 6
