Column Name,Type,Non-Null Count,Null Count,Null %,Unique Count,Min Value,Max Value
article10,VARCHAR,4852036,0,0.00%,707,0311238000,1562648000
barcode,VARCHAR,4852036,0,0.00%,1160323,8502742111,8540858807
anomaly_code,VARCHAR,426044,4425992,91.22%,145,00,S
anomaly_code_1,VARCHAR,31658,4820378,99.35%,124,00,X
anomaly_code_2,VARCHAR,2068,4849968,99.96%,65,00,OO
anomaly_code_3,VARCHAR,71,4851965,100.00%,10,00,OO
ccs_workcenter,VARCHAR,4818538,33498,0.69%,45,TB111,TB1C3
gt_workcenter,VARCHAR,4851793,243,0.01%,46,SU002,TB2C3
ct_workcenter,VARCHAR,4852036,0,0.00%,516,CU101,CUM10
ct_shiftdate,TIMESTAMP,4852036,0,0.00%,27,2026-06-13 00:00:00,2026-07-13 00:00:00
bead_lot,VARCHAR,4794925,57111,1.18%,11287,992L02APIBSSG,992LF4R6NKQC7
bead_workcenter,VARCHAR,4794745,57291,1.18%,14,BA201,BA217
tread_lot,VARCHAR,4813217,38819,0.80%,25058,992L0097EGILQ,992LEN1ENI0RD
tread_workcenter,VARCHAR,4813039,38997,0.80%,5,EX101,EX108
inner_liner_lot,VARCHAR,4791669,60367,1.24%,7415,992L00MZK61IQ,992LENS2NKLNM
inner_liner_workcenter,VARCHAR,4791149,60887,1.25%,3,CL201,CL203
sidewall_lot,VARCHAR,4792168,59868,1.23%,11781,992L00IE6FC8D,992LEN0CNKMI1
sidewall_workcenter,VARCHAR,4792096,59940,1.24%,3,EX103,EX108
first_breaker_lot,VARCHAR,4816790,35246,0.73%,12372,992L23XERCLN9,992LD2OHNINJ9
first_breaker_workcenter,VARCHAR,4816790,35246,0.73%,7,CX211,CX242
second_breaker_lot,VARCHAR,4807627,44409,0.92%,11914,992L23XERCMP0,992LD2OHNKPA6
second_breaker_workcenter,VARCHAR,4807596,44440,0.92%,8,CX211,CX242
first_ply_lot,VARCHAR,4791726,60310,1.24%,6984,992L03P8PHJA9,992LDW01NKMMT
first_ply_workcenter,VARCHAR,4791430,60606,1.25%,3,CX101,CX103
wound_cap_ply1_lot,VARCHAR,4815302,36734,0.76%,20468,992L03YFGYY2J,992LDYBUNKJJW
wound_cap_ply1_workcenter,VARCHAR,4815296,36740,0.76%,5,CX401,CX602
wound_cap_ply2_lot,VARCHAR,4483476,368560,7.60%,18940,992L03YFGYY17,992LDYBUNKJW1
wound_cap_ply2_workcenter,VARCHAR,4483476,368560,7.60%,5,CX401,CX602
tb_first_workcenter,VARCHAR,4826246,25790,0.53%,17,TB18,TB52
tb_last_workcenter,VARCHAR,4826246,25790,0.53%,17,TB18,TB52
tg_first_workcenter,VARCHAR,4830364,21672,0.45%,21,TG1,TG9
tg_last_workcenter,VARCHAR,4830364,21672,0.45%,22,TG1,TG9
tu_first_workcenter,VARCHAR,4830368,21668,0.45%,22,TU1,TU9
tu_last_workcenter,VARCHAR,4830368,21668,0.45%,22,TU1,TU9
rfppwc_first,VARCHAR,4599371,252665,5.21%,412655,100.00000000,99.99872200
rfh1wc_first,VARCHAR,4599371,252665,5.21%,1014160,0.57404000,99.98649600
specissue,VARCHAR,4848765,3271,0.07%,22,001,022
greentiregutsid,VARCHAR,4551589,300447,6.19%,1702,12539049,20465780
group,VARCHAR,4848765,3271,0.07%,4,GROUP 1,GROUP 3
rfpp_anomaly,BIGINT,4852036,0,0.00%,2,0,1
rfh1_anomaly,BIGINT,4852036,0,0.00%,2,0,1
grade_anomaly,BIGINT,4852036,0,0.00%,2,0,1
